modelo,accuracy_cv,precision_macro_cv,recall_macro_cv,f1_macro_cv,f1_macro_std,f1_weighted_cv,f1_train,brecha_train_cv,diferencia_vs_v1
stopwords_acentos,0.8436978413522123,0.8476398576019106,0.8438631234015848,0.8448884133061286,0.011311988357727717,0.8444438783720889,1.0,0.15511158669387137,0.0016659894357718974
v1_control,0.8417878822799068,0.8466617605615523,0.8419019465177161,0.8432224238703567,0.011568444300989791,0.8427807327833193,1.0,0.15677757612964327,0.0
acentos,0.8401518896996777,0.8452607967243159,0.8402173534415118,0.8415815969692308,0.009747085180692422,0.8411613251395789,1.0,0.15841840303076915,-0.0016408269011258803
stopwords_acentos_min_df2,0.8270561426856151,0.8290969999665743,0.8273007378916064,0.8279334807094478,0.013080315762702865,0.8274488827161365,1.0,0.17206651929055217,-0.015288943160908897
stopwords_acentos_min_df3,0.8109642356632257,0.8131019605909712,0.8112910565218561,0.8118404577594864,0.012787557357553225,0.8113074454339205,0.9995964099273893,0.18775595216790286,-0.031381966110870296
