modelo,accuracy_cv,precision_macro_cv,recall_macro_cv,f1_macro_cv,f1_macro_std,f1_train,brecha_train_cv,diferencia_vs_word,casos,casos_correctos,casos_sin_cobertura,features_activas_promedio,margen_promedio,accuracy_diagnostico,criterio_f1,criterio_cobertura,criterio_diagnostico,criterio_estabilidad,criterios_aprobados
word_char_3_6,0.8456096590845726,0.8477248054841746,0.8458497185025464,0.8463496208755243,0.013769885397367664,1.0,0.15365037912447566,0.0014612075693957172,9,9,0,206.22222222222223,2.6572248403356857,1.0,True,True,True,True,True
word_char_3_5,0.8398823839917327,0.8425480099223451,0.8401720831040734,0.8408766542012435,0.013654009804113874,1.0,0.15912334579875653,-0.00401175910488516,9,9,0,200.55555555555554,2.3752595877567835,1.0,True,True,True,True,True
word_stopwords_acentos,0.8436978413522123,0.8476398576019106,0.8438631234015848,0.8448884133061286,0.011311988357727717,1.0,0.15511158669387137,0.0,9,6,3,1.6666666666666667,1.0508637427996403,0.6666666666666666,True,False,False,True,False
