modelo,caso_id,categoria_esperada,categoria_predicha,segunda_categoria,prediccion_correcta,margen_decision,features_activas,sin_cobertura,prediccion_utilizable
word_char_3_6_optimizado,backend_real_01,backend,backend,cloud,True,1.8770833602033554,442,False,True
word_char_3_6_optimizado,backend_real_02,backend,backend,cloud,True,0.9827534865513824,215,False,True
word_char_3_6_optimizado,backend_adicional,backend,backend,cloud,True,1.419121339911471,156,False,True
word_char_3_6_optimizado,cloud_01,cloud,cloud,frontend,True,2.758227504443403,247,False,True
word_char_3_6_optimizado,cloud_02,cloud,cloud,frontend,True,1.4186084098486709,182,False,True
word_char_3_6_optimizado,datascience_01,datascience,datascience,backend,True,1.6202476811472808,162,False,True
word_char_3_6_optimizado,datascience_02,datascience,datascience,cloud,True,1.4915356572060605,171,False,True
word_char_3_6_optimizado,frontend_01,frontend,frontend,backend,True,2.5225642336161527,140,False,True
word_char_3_6_optimizado,frontend_02,frontend,frontend,backend,True,1.2867857613120766,141,False,True
