quantile,umbral_margen,review_rate,errores_detectados,errores_totales,recall_errores,precision_revision,accuracy_aceptadas
0.05,0.12243740862724517,0.050190943807965085,109,556,0.1960431654676259,0.592391304347826,0.8716255025847214
0.060000000000000005,0.14326236871374234,0.06001091107474086,129,556,0.23201438848920863,0.5863636363636363,0.8760882182240278
0.07,0.16740379564011246,0.07010365521003818,150,556,0.2697841726618705,0.5836575875486382,0.8809034907597536
0.08000000000000002,0.19504577879594603,0.08019639934533551,167,556,0.30035971223021585,0.5680272108843537,0.8846381969157769
0.09000000000000001,0.22327727339619602,0.09001636661211129,182,556,0.3273381294964029,0.5515151515151515,0.8878896882494005
0.1,0.25069918298912164,0.10010911074740862,198,556,0.35611510791366907,0.5395095367847411,0.8914822673537436
0.11000000000000001,0.27128423814423086,0.11020185488270595,216,556,0.38848920863309355,0.5346534653465347,0.8957694665849172
0.12000000000000001,0.30488356198351724,0.12002182214948172,236,556,0.4244604316546763,0.5363636363636364,0.9008059516429014
0.13,0.33295602896494075,0.13011456628477905,260,556,0.4676258992805755,0.5450733752620545,0.9071809344622138
0.14,0.35938454681212795,0.14020731042007636,275,556,0.49460431654676257,0.5350194552529183,0.9108502538071066
0.15000000000000002,0.381872908775605,0.15002727768685215,284,556,0.5107913669064749,0.5163636363636364,0.9127086007702182
0.16000000000000003,0.40619518686129175,0.1601200218221495,298,556,0.5359712230215827,0.5076660988074957,0.9162065605716142
0.17000000000000004,0.4303889057149071,0.1702127659574468,311,556,0.5593525179856115,0.4983974358974359,0.9194608809993425
0.18000000000000005,0.4597147353050031,0.18003273322422259,331,556,0.5953237410071942,0.5015151515151515,0.9251497005988024
0.19,0.48939220944539596,0.1901254773595199,344,556,0.6187050359712231,0.4935437589670014,0.9285954866958572
0.2,0.5250857203917849,0.19994544462629568,357,556,0.6420863309352518,0.4870395634379263,0.9321513808387317
0.21000000000000002,0.5615097433223615,0.21003818876159303,370,556,0.6654676258992805,0.4805194805194805,0.9357734806629834
0.22000000000000003,0.5868075845367862,0.22013093289689034,379,556,0.6816546762589928,0.46964064436183395,0.938090241343127
0.23000000000000004,0.6149126398978587,0.22995090016366612,389,556,0.6996402877697842,0.46144721233689207,0.940843074743181
0.24000000000000005,0.64346894252355,0.24004364429896344,398,556,0.7158273381294964,0.45227272727272727,0.9432878679109835
0.25000000000000006,0.6753474254201499,0.2501363884342608,407,556,0.7320143884892086,0.44383860414394766,0.9457984721716988
0.26000000000000006,0.711124459154115,0.25995635570103653,413,556,0.7428057553956835,0.4333683105981112,0.9472908219683007
0.27,0.7320868865895754,0.2700490998363339,419,556,0.7535971223021583,0.42323232323232324,0.9488041853512705
0.28,0.7605128484704152,0.2801418439716312,427,556,0.7679856115107914,0.4157740993184031,0.9511178476695719
0.29000000000000004,0.8035395101318648,0.289961811238407,438,556,0.7877697841726619,0.4120413922859831,0.9546676911256243
0.30000000000000004,0.8297178155628161,0.3000545553737043,450,556,0.8093525179856115,0.4090909090909091,0.9586905689789555
0.31000000000000005,0.8660701698628644,0.31014729950900166,458,556,0.8237410071942446,0.40281442392260336,0.9612495057334915
0.32000000000000006,0.8927592794165562,0.3199672667757774,460,556,0.8273381294964028,0.39215686274509803,0.9614921780986763
0.33,0.9229400401930753,0.33006001091107473,467,556,0.8399280575539568,0.3859504132231405,0.9637622149837134
0.34,0.9579654870802589,0.34015275504637205,474,556,0.8525179856115108,0.38011226944667204,0.9661016949152542
0.35000000000000003,0.9867708613611291,0.34997272231314785,478,556,0.8597122302158273,0.372564302416212,0.9672681493915233
0.36000000000000004,1.02075765212318,0.36006546644844517,482,556,0.8669064748201439,0.36515151515151517,0.96845694799659
0.37000000000000005,1.052336128269707,0.3701582105837425,483,556,0.8687050359712231,0.3559322033898305,0.9683845820701602
0.38000000000000006,1.0897729563019007,0.3799781778505183,487,556,0.8758992805755396,0.34960516870064606,0.9696436427628684
0.39000000000000007,1.1329483171794599,0.3900709219858156,492,556,0.8848920863309353,0.34405594405594403,0.9713774597495528
0.4000000000000001,1.1683402511387717,0.4001636661211129,497,556,0.8938848920863309,0.3387866394001363,0.9731696225557072
0.4100000000000001,1.198664676765059,0.4099836333878887,501,556,0.9010791366906474,0.3333333333333333,0.97457235321313
0.42000000000000004,1.2300501334905307,0.42007637752318605,506,556,0.9100719424460432,0.32857142857142857,0.9764816556914393
0.43000000000000005,1.2561737489808746,0.4298963447899618,508,556,0.9136690647482014,0.3223350253807107,0.9770334928229665
0.44000000000000006,1.2896298185336723,0.4399890889252591,510,556,0.9172661870503597,0.3161810291382517,0.9775937652216269
0.45000000000000007,1.3275313533827662,0.4500818330605565,513,556,0.9226618705035972,0.3109090909090909,0.9786706349206349
0.4600000000000001,1.360476503689637,0.45990180032733224,517,556,0.9298561151079137,0.3066429418742586,0.9803030303030303
0.4700000000000001,1.395127566677508,0.46999454446262956,521,556,0.9370503597122302,0.3023795705165409,0.981986618630983
0.4800000000000001,1.4277725293859198,0.4800872885979269,523,556,0.9406474820143885,0.29715909090909093,0.9826862539349422
0.49000000000000005,1.4607736883821887,0.4899072558647027,527,556,0.947841726618705,0.29342984409799555,0.9844919786096257
0.5000000000000001,1.4896972811173066,0.5,528,556,0.9496402877697842,0.28805237315875615,0.9847244953627933
