Archivo,Extension,Tamaño_KB,SHA256,Ruta
techmind_modelo_final.joblib,.joblib,2017.35,488ec7d47f7697f870fde6877d8df54e5ce1fedbc29842dd669a1014c7715cfb,C:\Users\MAMÁ\Downloads\models\techmind_modelo_final.joblib
techmind_modelo_final_metadata.json,.json,1.44,240d14eaf128fce2f8fb0fb19da9958dd693a75ac2984e20d9435aecdc610a6c,C:\Users\MAMÁ\Downloads\models\techmind_modelo_final_metadata.json
metricas_finales_test.json,.json,1.39,1a4f221ea0c2654220b5e4c838afb2f4976d29286f01edcc7f099fb7f2e08a71,C:\Users\MAMÁ\Downloads\results\metricas_finales_test.json
reporte_clasificacion_final.csv,.csv,0.53,b3cdd8193978b4d1a64ae4cb713f6768a62276e091277939cfe6fb01d03618c7,C:\Users\MAMÁ\Downloads\results\reporte_clasificacion_final.csv
metricas_finales_por_categoria.csv,.csv,0.32,73559194b0e4c27baac4e4977f53a1a41322e7a9fc3312b453b332ebd834d73f,C:\Users\MAMÁ\Downloads\results\metricas_finales_por_categoria.csv
matriz_confusion_final.csv,.csv,0.16,7f482793dc79b5e8b38515251ca5cefe9470e97bef5b0211dce1c6f779d33406,C:\Users\MAMÁ\Downloads\results\matriz_confusion_final.csv
matriz_confusion_final_normalizada.csv,.csv,0.41,15c325437ad008c90539e6ae58744fa761c132ec680033573ba308b7f43bd490,C:\Users\MAMÁ\Downloads\results\matriz_confusion_final_normalizada.csv
predicciones_test_final.csv,.csv,286.56,a69af4e70c0d9de402e188ab55c625a5fcfc44f770592a1ebf9c084e22731645,C:\Users\MAMÁ\Downloads\results\predicciones_test_final.csv
errores_clasificacion_final.csv,.csv,80.63,ebe55ba637f484fbfb633648c6e0bc5823b1fab6a2f6dcfc9964ac331db9c9ae,C:\Users\MAMÁ\Downloads\results\errores_clasificacion_final.csv
confusiones_frecuentes_final.csv,.csv,0.33,e901ea4ad21bf0ea7a28fe6e831fb4f6eda5054f0c058108519d993665c63722,C:\Users\MAMÁ\Downloads\results\confusiones_frecuentes_final.csv
matriz_confusion_final.png,.png,116.17,ef370755f7791cb138ba2f72ce7c6758bdfee2221fe40cc1ee10c9c60ae0a5ca,C:\Users\MAMÁ\Downloads\results\matriz_confusion_final.png
matriz_confusion_final_normalizada.png,.png,135.2,fae061af28a286af8e8101f1ec55ce6919a9d4055cfe44f878d792e443f00c2f,C:\Users\MAMÁ\Downloads\results\matriz_confusion_final_normalizada.png
evolucion_f1_macro_notebook03.png,.png,247.49,df3a1a837002d70bacd70823545e50a91e874a365fac2de93095a2e75d796d13,C:\Users\MAMÁ\Downloads\results\evolucion_f1_macro_notebook03.png
resumen_ejecutivo_notebook03.json,.json,2.24,0745a8b282ebbcd388776e73c1670669fc1805c2461c56b9eae3128cac3c35f2,C:\Users\MAMÁ\Downloads\reports\resumen_ejecutivo_notebook03.json
resumen_ejecutivo_notebook03.csv,.csv,0.53,5d31d34f4f4a5ee2a68cd04f52594b64caa801b275c1c9a20a4ec2f293d174a2,C:\Users\MAMÁ\Downloads\results\resumen_ejecutivo_notebook03.csv
evolucion_modelado_notebook03.csv,.csv,0.93,a884510d26f343167f61bb6b190bbd6a5ab296576bfd749c8c9ea05619566046,C:\Users\MAMÁ\Downloads\results\evolucion_modelado_notebook03.csv
resumen_categorias_notebook03.csv,.csv,0.3,91c438a731b84d086b387769c99d46a9575095c2527a0a8f52077dae3edc10da,C:\Users\MAMÁ\Downloads\results\resumen_categorias_notebook03.csv
resumen_notebook03.md,.md,1.73,edc226cba0b775285fa7b42ca1d27b0c2d89eca9e7022d4bb0b2ffceb9e06cfe,C:\Users\MAMÁ\Downloads\reports\resumen_notebook03.md
